,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Demanda Bioquímica de Oxígeno (DBO) [mg/L],Demanda Química de Oxígeno (DQO) [mg/L],Sólidos Suspendidos Totales (SST) [mg/L],Coliformes Fecales (CF) [NMP/100mL],E. Coli (EC) [NMP/100mL],Enterococos (ENT) [NMP/100mL],Toxicidad aguda (TA) [UTa],Oxígeno Disuelto (OD) [mg/L],SEMAFORO,CONTAMINANTES
643,DLGUA1032,RH12-11 LERMA,LERMA SANTIAGO PACIFICO,GUANAJUATO,PENJAMO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.60371,20.48125,2012-2023,20,82,83,220,70,,1,63.7,Rojo,"DQO,"
644,DLGUA1032M1,LA DESCUBRIDORA,LERMA SANTIAGO PACIFICO,GUANAJUATO,PURISIMA DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO,RÍO,-101.88756,20.96818,2012-2023,37.5,117.5,28,24000,24000,,5.65,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
645,DLGUA1034,RIO TURBIO 19,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.60207,20.49483,2012-2023,19,100.5,69,430,230,,1,70.5,Rojo,"DQO,"
646,DLGUA1035,RIO TURBIO 18,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.60099,20.4973,2012-2023,20.5,64,80.5,430,220,,1,83.6,Rojo,"DQO,"
647,DLGUA1037,RIO TURBIO 17,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.601419,20.528571,2012-2023,21.5,106.5,90.5,2400,2400,,<1,57.2,Rojo,"DQO,CF,E_COLI,"
648,DLGUA1037M1,EL TULE,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO,RIO,-101.89794,20.9171,2012-2023,48,91.5,66,24000,24000,,6.78,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
649,DLGUA1041,RIO TURBIO 16,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.58672,20.53432,2012-2023,16,69,55,1500,430,,<1,53.75,Rojo,"DQO,CF,TOX_L,"
650,DLGUA1042,RIO TURBIO 15,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.58566,20.53491,2012-2023,15,109,45,2400,2400,,<1,68.15,Rojo,"DQO,CF,E_COLI,"
651,DLGUA1042M1,CERRO BLANCO DE MANCERA,LERMA SANTIAGO PACIFICO,GUANAJUATO,SALAMANCA,RÍO LERMA 5,RIO LERMA,LÓTICO A - TIPO 9,RÍO,-101.25357,20.57603,2012-2023,27,71,62,24000,24000,,<1,10,Rojo,"DQO,CF,E_COLI,OD%L,"
652,DLGUA1044,RIO TURBIO 14,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO (HUMEDAL),RÍO,-101.62084,20.66047,2012-2023,42.394999999999996,193.57,114.25,24196,11672,,2.92,16.85,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
653,DLGUA1045,RIO TURBIO 13,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO (HUMEDAL),RÍO,-101.62078,20.66218,2012-2023,60.03,146.265,92.5,24196,12711.5,,3.77,12,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
654,DLGUA1046,RIO TURBIO 12,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.63516,20.6905,2012-2023,82.655,226.26999999999998,93,125150,24196,,5.199,10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
655,DLGUA1047,RIO TURBIO 11,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.63638,20.6932,2012-2023,51.3,236.31,80.83335,24196,24196,,5.04,10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
656,DLGUA1048,RIO TURBIO 10,LERMA SANTIAGO PACIFICO,GUANAJUATO,ABASOLO,RÍO LERMA 5,RIO TURBIO,LÓTICO (HUMEDAL),RÍO,-101.66573,20.69144,2012-2023,54.95,236.745,84,24196,7270,,4.867,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
657,DLGUA1049,RT-9 RIO TURBIO-PUENTE RIO TURBIO (T. BLANCAS),LERMA SANTIAGO PACIFICO,GUANAJUATO,MANUEL DOBLADO,RÍO LERMA 5,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.70436,20.7229,2012-2023,64.82,244.8,150,26130,24196,,6.524,10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
658,DLGUA1050,RIO TURBIO 9,LERMA SANTIAGO PACIFICO,GUANAJUATO,MANUEL DOBLADO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.70407,20.72212,2012-2023,54.99,234.46,123.35,24196,13551,,5.74,12,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
659,DLGUA1058,RT-5 RIO TURBIO-PRESA SAN GERMAN,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.78503,21.03865,2012-2023,9.93,3607.2,220,24196,24196,,49.01960784313725,12,Rojo,"DQO,SST,CF,E_COLI,OD%L,TOX_L,"
660,DLGUA1060,PUENTE ESTANCIA DE VAQUEROS,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,RIO TURBIO,LÓTICO,RÍO,-101.76163,21.0621,2012-2023,1015,2816.625,1010,24196,24196,,12.987012987012987,10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
661,DLGUA1061,RT-4 RIO TURBIO-ESTANCIA DE VAQUEROS,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.76118,21.06217,2012-2023,742,1592.19,595,2419600,2419600,,112.36,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
662,DLGUA1062,AF-3 ARROYO HONDO-A.A. RIO TURBIO,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.73097,21.08019,2012-2023,549,1716.45,845,2419600,2419600,,43.48,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
663,DLGUA1063,AF-2 ARROYO LAS MULAS-A.A. ARROYO HONDO,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.730491,21.08511,2012-2023,2520.46,7537,2230,20000,1000,,333.33,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
664,DLGUA1067,LEON  (A) AGUAS ARRIBA,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,ARROYO LAS MULAS/RIO TURBIO,LÓTICO,DESCARGA MUNICIPAL,-101.73346,21.09266,2012-2023,50.7,132,70.5,24196,24196,,11.19,46.6,Rojo,"DBO,DQO,CF,E_COLI,TOX_L,"
665,DLGUA1068,LEON  (A) AGUAS ABAJO,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,ARROYO LAS MULAS/RIO TURBIO,LÓTICO,DESCARGA MUNICIPAL,-101.66345,21.12202,2012-2023,1445.98,2123.715,1360,241960,133078,1986300,19.99,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,ENT_FEC,OD%L,OD%S,TOX_L,TOX_S,TOX_F,"
666,DLGUA1068W1,LEON  (A) AGUAS ABAJO,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO TURBIO,ARROYO LAS MULAS/RIO TURBIO,LÓTICO,RÍO,-101.72978,21.08193,2012-2023,580,3558.855,1560,495000,241960,,46.702,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
667,DLGUA1069,RT-3 RIO TURBIO-A.A. PRESA EL PALOTE,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LA LAJA 1,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-100.68973,21.1694,2012-2023,5.07,<10,<25,12992.5,12226,,<1,37.21665,Amarillo,"CF,E_COLI,"
668,DLGUA1070,PRESA EL PALOTE 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,PRESA EL PALOTE,LÉNTICO,PRESA,-101.68842,21.1733,2012-2023,4.18,46.224,<25,935,20,,,,Rojo,"DQO,"
669,DLGUA1071,PRESA EL PALOTE 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,PRESA EL PALOTE,LÉNTICO (HUMEDAL),PRESA,-101.68037,21.17567,2012-2023,4.8,51.87,25,687,15,,,,Rojo,"DQO,"
670,DLGUA1072,PRESA EL PALOTE 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,PRESA EL PALOTE,LÉNTICO,PRESA,-101.69003,21.17327,2012-2023,10.425,34.8288,31,1022,20,,,,Amarillo,"CF,OD%F,"
671,DLGUA1072M1,PRESA LA CEBADA,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN LUIS DE LA PAZ,RÍO LA LAJA 1,PRESA,LÉNTICO,PRESA,-100.52988,21.101277,2012-2023,6.529999999999999,63.185,30,441,20,,,,Rojo,"DQO,"
672,DLGUA1074,PRESA EL PALOTE 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,PRESA EL PALOTE,LÉNTICO,PRESA,-101.68039,21.17667,2012-2023,8.215,30.9,55.5,697,292,,,,Amarillo,"OD%F,"
673,DLGUA1075,PRESA EL PALOTE 4,LERMA SANTIAGO PACIFICO,GUANAJUATO,LEON,RÍO LERMA 5,PRESA EL PALOTE,LÉNTICO,PRESA,-101.68004,21.17839,2012-2023,<3,50.4,32,692,271.5,,,,Rojo,"DQO,OD%F,"
674,DLGUA1076M1,RIO TEMASCATIO,LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,RIO TEMASCATIO,LÓTICO,DESCARGA,-101.285988,20.6151025,2012-2023,206.94,577.77,113.33,198630,77010,,20.7,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
675,DLGUA1077W1,RIO SANTIAGO 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO SANTIAGO,LÓTICO,RÍO,-101.82957,21.00885,2012-2023,297.265,881.715,232.5,241960,680930,241960,10.34,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,ENT_FEC,OD%L,OD%S,TOX_L,TOX_S,TOX_F,"
676,DLGUA1078,AF-4 RIO SANTIAGO-A.A. RIO TURBIO,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.83697,20.99657,2012-2023,211.95999999999998,489.6,114.5,241960,216880,,26.745,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
677,DLGUA1079,RT-6 RIO TURBIO-PASO DE OVEJAS,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.84492,20.99406,2012-2023,277.98,886.04,256.66499999999996,241960,241960,,11.82,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
678,DLGUA1080,PUENTE PASO DE OVEJAS,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO,RÍO,-101.84492,20.99406,2012-2023,510.99,1843.68,226.6667,133078,241960,,8.216926869350862,10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
679,DLGUA1081W1,RIO TURBIO 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN FRANCISCO DEL RINCON,RÍO TURBIO,RIO TURBIO,LÓTICO,RÍO,-101.84523,20.9939,2012-2023,225.39499999999998,894,286.33500000000004,241960,241960,241960,17.561,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,ENT_FEC,OD%L,OD%S,TOX_L,TOX_S,TOX_F,"
680,DLGUA1087,GUANAJUATO,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.28874,20.92949,2012-2023,8.63,37.6,<25,24196,24196,,2.85,44.85,Amarillo,"CF,E_COLI,"
681,DLGUA1089,PRESA LAS TORRES 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,LAS TORRES,LÉNTICO,PRESA,-101.226107,21.024345,2012-2023,<3,12.256,<25,52,<3,,,,Verde,
682,DLGUA1090,PRESA LAS TORRES 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,LAS TORRES,LÉNTICO,PRESA,-101.219454,21.025339,2012-2023,<3,15.23,<25,96,<3,,,,Verde,
683,DLGUA1091,PRESA LAS TORRES 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,LAS TORRES,LÉNTICO,PRESA,-101.22189,21.027915,2012-2023,<3,23.11,<25,173.5,<3,,,,Verde,
684,DLGUA1092,PRESA LA ESPERANZA 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,PRESA LA ESPERANZA,LÉNTICO,PRESA,-101.2514,21.04857,2012-2023,<3,26.509999999999998,<25,171,10,,,,Verde,
685,DLGUA1093,PRESA LA ESPERANZA 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,PRESA LA ESPERANZA,LÉNTICO,PRESA,-101.255583,21.049857,2012-2023,<3,25.56,<25,73,10,,,,Verde,
686,DLGUA1094,PRESA LA ESPERANZA 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,PRESA LA ESPERANZA,LÉNTICO,PRESA,-101.253937,21.053659,2012-2023,<3,24.68,<25,218,20,,,,Verde,
687,DLGUA1095,PRESA LA SOLEDAD 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,PRESA LA SOLEDAD,LÉNTICO,PRESA,-101.279842,21.042719,2012-2023,<3,16,<25,166.5,<3,,,,Verde,
688,DLGUA1096,PRESA LA SOLEDAD 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,GUANAJUATO,RÍO LERMA 5,PRESA LA SOLEDAD,LÉNTICO,PRESA,-101.279195,21.040371,2012-2023,<3,15.32,<25,129,<3,,,,Verde,
689,DLGUA1098,"ESTUDIO ESPECIAL RIO LA LAJA, INFLUENTE DE LA PTAR DE DOLORES HIDALGO",LERMA SANTIAGO PACIFICO,GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.910524,21.149243,2012-2023,254,431.5,504.5,2400,2400,,2.22222222222222,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,"
690,DLGUA1099,"ESTUDIO ESPECIAL RIO LA LAJA, EFLUENTE DE LA PTAR DE DOLORES HIDALGO",LERMA SANTIAGO PACIFICO,GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.909688,21.148908,2012-2023,17.5,66,<25,2400,2400,,1.49,33.75,Rojo,"DQO,CF,E_COLI,"
691,DLGUA1112,PRESA MELCHOR ORTEGA 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,DOCTOR MORA,RÍO LA LAJA 1,MELCHOR ORTEGA,LÉNTICO,PRESA,-100.2973,21.1557,2012-2023,<3,20.06,<25,153,5.75,,,,Verde,
692,DLGUA1113,PRESA MELCHOR ORTEGA 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,DOCTOR MORA,RÍO LA LAJA 1,MELCHOR ORTEGA,LÉNTICO,PRESA,-100.2993,21.1571,2012-2023,<3,18.853,<25,91.5,5.75,,,,Verde,
693,DLGUA1114,PRESA MELCHOR ORTEGA 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,DOCTOR MORA,RÍO LA LAJA 1,MELCHOR ORTEGA,LÉNTICO,PRESA,-100.2941,21.1551,2012-2023,<3,21.189999999999998,<25,134,10,,,,Verde,
694,DLGUA1117,PRESA PASO DE VAQUEROS 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN LUIS DE LA PAZ,RÍO SANTA MARÍA 2,PASO DE VAQUEROS,LÉNTICO,PRESA,-100.3773,21.3531,2012-2023,<3,21.94,<25,75,<3,,,,Verde,
695,DLGUA1118,PRESA PASO DE VAQUEROS 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN LUIS DE LA PAZ,RÍO SANTA MARÍA 2,PASO DE VAQUEROS,LÉNTICO,PRESA,-100.384,21.3592,2012-2023,<3,17.845,<25,52,<3,,,,Verde,
696,DLGUA1119,PRESA PASO DE VAQUEROS 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN LUIS DE LA PAZ,RÍO SANTA MARÍA 2,PASO DE VAQUEROS,LÉNTICO,PRESA,-100.38885,21.36422,2012-2023,<3,18.39,<25,227.5,5.75,,,,Verde,
697,DLGUA1120,"ESTUDIO ESPECIAL RIO LA LAJA, PRESA ALLENDE 2",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.810638,20.872089,2012-2023,21,43,46,601.5,601.5,,,,Rojo,"DQO,"
698,DLGUA1122,"ESTUDIO ESPECIAL RIO LA LAJA, PRESA ALLENDE 3",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.828342,20.861667,2012-2023,20,48,55,18.5,18.5,,,,Rojo,"DQO,"
699,DLGUA1123,"ESTUDIO ESPECIAL RIO LA LAJA, PRESA ALLENDE 4",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.808387,20.860948,2012-2023,17,44,64,19.5,16.5,,,,Rojo,"DQO,"
700,DLGUA1124,PRESA IGNACIO ALLENDE 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,PRESA IGNACIO ALLENDE,LÉNTICO (HUMEDAL),PRESA,-100.8223,20.8466,2012-2023,<3,23,37.5,226,63,,,,Verde,
701,DLGUA1125,"ESTUDIO ESPECIAL RIO LA LAJA, PRESA ALLENDE 5",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.821636,20.850033,2012-2023,20.5,45.5,59,70,70,,<1,53.1,Rojo,"DQO,"
702,DLGUA1126,PRESA IGNACIO ALLENDE 3,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,PRESA IGNACIO ALLENDE,LÉNTICO (HUMEDAL),PRESA,-100.7913,20.8814,2012-2023,<3,24.71,43.5,1830,886,,,,Amarillo,"CF,E_COLI,"
703,DLGUA1127,"ESTUDIO ESPECIAL RIO LA LAJA, EFLUENTE DE LA PTAR DE SAN MIGUEL DE ALLENDE",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.775445,20.906489,2012-2023,16,39,<25,2400,2400,,1.6,36.6,Amarillo,"CF,E_COLI,"
704,DLGUA1128,PRESA IGNACIO ALLENDE 2,LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,PRESA IGNACIO ALLENDE,LÉNTICO,PRESA,-100.80187,20.91636,2012-2023,7.02,29.672600000000003,68.46000000000001,789,260.5,,,,Verde,
705,DLGUA1129,"ESTUDIO ESPECIAL RIO LA LAJA, CIENEGUILLA",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.794718,20.94786,2012-2023,9.5,49,<25,4,3,,1.61,50.85,Rojo,"DQO,"
706,DLGUA1131,"ESTUDIO ESPECIAL RIO LA LAJA, INFLUENTE DE LA PTAR DE SAN MIGUEL DE ALLENDE",LERMA SANTIAGO PACIFICO,GUANAJUATO,SAN MIGUEL DE ALLENDE,RÍO LA LAJA 1,RIO LA LAJA,LÓTICO (ESTUDIO ESPECIAL),RÍO,-100.774152,20.905683,2012-2023,189,411,500,2400,2400,,1.72413793103448,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,"
707,DLGUA1133,"LALA DERIVADOS LACTEOS, S.A. DE C.V. (AGUAS ARRIBA)",LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,AFLUENTE RIO LERMA Y SUELO; CUERPO DE DESCARGA RIO TEMASCATIO,LÓTICO,DESCARGA,-101.2981,20.62459,2012-2023,153.9,531.13,106.67,101900,24196,,17.29,19.05,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
708,DLGUA1134,"LALA DERIVADOS LACTEOS, S.A. DE C.V. (AGUAS ABAJO)",LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,AFLUENTE RIO LERMA Y SUELO; CUERPO DE DESCARGA RIO TEMASCATIO,LÓTICO,DESCARGA,-101.29016,20.64589,2012-2023,5.49,30.9,30,15531,3654,,<1,67,Amarillo,"CF,E_COLI,"
709,DLGUA1135,"LALA  DERIVADOS LACTEOS, S.A. DE C.V. (AGUAS ARRIBA)",LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,AFLUENTE RIO LERMA Y SUELO; CUERPO DE DESCARGA RIO TEMASCATIO,LÓTICO,DESCARGA,-101.29482,20.6164,2012-2023,154.92000000000002,369.7,84,24196,14136,,12.24,13.649999999999999,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
710,DLGUA1136,AGUAS ARRIBADE CONFL.CON EL RIO LERMA,LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,RIO GUANAJUATO,LÓTICO,RÍO,-101.3521,20.61349,2012-2023,64.51,237.8,40,235900,148300,,5.48,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
711,DLGUA1137,IRAPUATO  (A) AGUAS ARRIBA,LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,RIO SILAO,LÓTICO,RÍO,-101.33189,20.66603,2012-2023,74.32,179.41,64.25,24196,24196,,19.3423597678917,11.65,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
712,DLGUA1138,RIO GUANAJUATO,LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,RIO GUANAJUATO,LÓTICO A - TIPO 9,RÍO,-101.330833,20.670833,2012-2023,11.97,77.94,<25,24196,24196,,3.28,29,Rojo,"DQO,CF,E_COLI,OD%L,TOX_L,"
713,DLGUA1140,RIO TURBIO 8,LERMA SANTIAGO PACIFICO,GUANAJUATO,MANUEL DOBLADO,RÍO LERMA 5,RIO TURBIO,LÓTICO,RÍO,-101.81313,20.68502,2012-2023,95.33,288.72,149.16500000000002,24196,24196,,5.368,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
714,DLGUA1141,RT-8 RIO TURBIO-LAS ADJUNTAS,LERMA SANTIAGO PACIFICO,GUANAJUATO,MANUEL DOBLADO,RÍO TURBIO,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.84734,20.67323,2012-2023,73.325,239.87,121.66499999999999,58960,24196,,7.266,10.9,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
715,DLGUA1142,RIO TURBIO 7,LERMA SANTIAGO PACIFICO,GUANAJUATO,MANUEL DOBLADO,RÍO TURBIO,RIO TURBIO,LÓTICO,RÍO,-101.85239,20.67531,2012-2023,138.375,382.89,129.165,24196,14780,,4.641,<10,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
716,DLGUA1143,AF-7 RIO PENJAMO,LERMA SANTIAGO PACIFICO,GUANAJUATO,PENJAMO,RÍO LERMA 5,RIO TURBIO,LÓTICO A - TIPO 8,RÍO,-101.71178,20.42392,2012-2023,152,301.5,125,24000,24000,,1.62,15.6,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
717,DLGUA1143M1,ARROYO SANTA RITA 1,LERMA SANTIAGO PACIFICO,GUANAJUATO,IRAPUATO,RÍO LERMA 5,ARROYO SANTA RITA,LÓTICO,RÍO,-101.322725,20.682881,2012-2023,9.5,54.5,83.5,24000,17500,,<1,56.6,Rojo,"DQO,CF,E_COLI,"
718,DLGUA1144,PENJAMO,LERMA SANTIAGO PACIFICO,GUANAJUATO,PENJAMO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.73075,20.2147,2012-2023,17.5,59.5,58.5,2400,930,,3.39,59.7,Rojo,"DQO,CF,E_COLI,"
719,DLGUA1145,RIO LERMA 17,LERMA SANTIAGO PACIFICO,MICHOACAN DE OCAMPO,ANGAMACUTIRO,RÍO LERMA 5,RIO LERMA,LÓTICO,RÍO,-101.7018,20.18902,2012-2023,16,57,65,4600,4600,,1,65.9,Rojo,"DQO,CF,E_COLI,"
720,DLGUA1148,RIO LERMA 35,LERMA SANTIAGO PACIFICO,GUANAJUATO,ACAMBARO,RÍO LERMA 4,RIO LERMA,LÓTICO,RÍO,-100.82544,20.07664,2012-2023,10,46,<25,4600,2400,,1.10497237569061,64.05,Rojo,"DQO,CF,E_COLI,"
721,DLGUA1149,RIO LERMA 36,LERMA SANTIAGO PACIFICO,GUANAJUATO,ACAMBARO,RÍO LERMA 4,RIO LERMA,LÓTICO,RÍO,-100.82854,20.08111,2012-2023,11,46.5,<25,11000,4600,,1,69.15,Rojo,"DQO,CF,E_COLI,"
